ISSID,Municipality_metro,TownCity_Name,Coordinates,Start_Date,End_Date
443,Western Cape - City of Cape Town,Cape Town,"-33.966273,18.553629",09/03/2013 00:00,09/04/2013 00:00
447,Western Cape - City of Cape Town,Cape Town,"-33.918064,18.417221",09/03/2013 00:00,09/05/2013 00:00
448,Western Cape - City of Cape Town,Cape Town,"-34.047895,18.605252",09/03/2013 00:00,09/05/2013 00:00
449,Gauteng - City of Tshwane,Pretoria,"-25.754605,28.17898",09/03/2013 00:00,09/04/2013 00:00
460,Gauteng - City of Tshwane,Pretoria,"-25.745513,28.204768",09/03/2013 00:00,09/06/2013 00:00
435,Gauteng - City of Johannesburg,Johannesburg,"-26.092761,28.005784",09/04/2013 00:00,09/05/2013 00:00
439,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-33.961668,25.624116",09/04/2013 00:00,09/04/2013 00:00
442,Gauteng - Ekurhuleni,Johannesburg,"-26.135149,28.22911",09/04/2013 00:00,09/05/2013 00:00
444,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-33.954316,25.600671",09/04/2013 00:00,09/05/2013 00:00
458,Eastern Cape - Buffalo City,Bisho,"-32.855165,27.434555",09/04/2013 00:00,09/04/2013 00:00
459,Eastern Cape - Elundini,Mount Fletcher,"-30.685136,28.508305",09/04/2013 00:00,09/04/2013 00:00
467,Gauteng - Ekurhuleni,Benoni,"-26.126841,28.462989",09/04/2013 00:00,09/04/2013 00:00
468,Mpumalanga - Nkangala,Nkangala,"-25.639673,30.329569",09/04/2013 00:00,09/04/2013 00:00
473,Gauteng - City of Johannesburg,Johannesburg,"-26.120732,28.065726",09/04/2013 00:00,09/04/2013 00:00
491,KwaZulu Natal - Emnambithi/Ladysmith,Ladysmith,"-28.581645,29.822508",09/04/2013 00:00,09/04/2013 00:00
470,Eastern Cape - Buffalo City,Mdantsane,"-32.94989,27.766128",09/05/2013 00:00,09/05/2013 00:00
483,KwaZulu Natal - eThekwini,Durban,"-29.794272,30.834823",09/05/2013 00:00,09/05/2013 00:00
485,Gauteng - City of Johannesburg,Johannesburg,"-25.994167,28.126599",09/05/2013 00:00,09/05/2013 00:00
472,Gauteng - City of Johannesburg,Johannesburg,"-26.185623,28.037921",09/06/2013 00:00,09/06/2013 00:00
476,Gauteng - City of Johannesburg,Johannesburg,"-26.1925,28.034015",09/06/2013 00:00,09/06/2013 00:00
477,Mpumalanga - Gert Sibande,Ermelo,"-26.212277,30.987236",09/06/2013 00:00,09/06/2013 00:00
484,Gauteng - Ekurhuleni,Johannesburg,"-26.079322,28.102187",09/06/2013 00:00,09/06/2013 00:00
499,Gauteng - City of Johannesburg,Johannesburg,"-26.161909,27.871571",09/06/2013 00:00,09/06/2013 00:00
506,Gauteng - City of Tshwane,Pretoria,"-25.746469,28.289049",09/06/2013 00:00,09/06/2013 00:00
474,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-33.762462,25.402936",09/08/2013 00:00,09/08/2013 00:00
486,KwaZulu Natal - eThekwini,Durban,"-29.862442,31.010006",09/08/2013 00:00,09/08/2013 00:00
487,KwaZulu Natal - eThekwini,Durban,"-29.85888,31.025317",09/08/2013 00:00,09/08/2013 00:00
